"lang"
{
	"Language"	"English"
	"Tokens"
	{
		"BOSS_1"	"Undead Knight"
		"BOSS_2"	"Elemental Mage"
		"BOSS_3"	"Phantom Assassin"
		"BOSS_4"	"Tarzan the Apes"
		"BOSS_5"	"Furious Fire Element"
		"BOSS_6"	"Evil Timbersaw"
		"BOSS_jb"	"Golden Swallowing Beast"
		"DOTA_Tooltip_ability_item_tz_3_1_1"	"<font color='#477bff'>Gold Inlaid Jade Necklace</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_damage_percent"	"%+$damage"
		"DOTA_Tooltip_ability_item_tz_3_1_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_1_2"	"<font color='#477bff'>Gold Inlaid Jade Bracelet</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_3_1_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_1_3"	"<font color='#477bff'>Gold Inlaid Jade Ring</font>"
		"DOTA_Tooltip_ability_item_tz_3_1_3_Description"	"<h1>Passive: Reduce Armor</h1> Reduce target %armor% armor for %duration% seconds."
		"DOTA_Tooltip_ability_item_tz_3_1_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_1_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_1"	"<font color='#477bff'>Deadwood Spring Top</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_tz_3_2_1_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_2"	"<font color='#477bff'>Deadwood Spring Boots</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_tz_3_2_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_3"	"<font color='#477bff'>Deadwood Spring Shoulders</font>"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_2_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_tz_3_2_3_magic_resistance"	"%+$spell_resist"
		"DOTA_Tooltip_ability_item_tz_3_3_1"	"<font color='#477bff'>Tidal Water Spirit Heart</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_1_Description"	"<h1>Active: Tenacity (set skill)</h1> Give the surrounding teammates a weak dispel, and restore the allies to the caster's full attribute*5 health. Range: 1800 yards\n\n<h1> Passive: Heart of Water Spirit</h1>All stats of surrounding allied heroes +30, health regeneration +10, magic regeneration +5"
		"DOTA_Tooltip_ability_item_tz_3_3_1_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_3_2"	"<font color='#477bff'>Tidal Water Spirit Ring</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_2_Description"	"<h1>Passive: Water Spirit Earring</h1>The attack of surrounding allies is increased by 20%, and the attack speed is +20"
		"DOTA_Tooltip_ability_item_tz_3_3_2_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_3_3"	"<font color='#477bff'>Tidal Water Spirit Shelter</font>"
		"DOTA_Tooltip_ability_item_tz_3_3_3_Description"	"<h1>Passive: Water Spirit Shield</h1>The skill damage of surrounding allies is increased by 5%, armor +5, magic resistance +10%"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_agility"	"+$agi"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_all"	"+$all"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_attackspeed"	"+$attack"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_crit"	"%+crit probability"
		"DOTA_Tooltip_ability_item_tz_3_3_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_1"	"<font color='#477bff'>Frost Undead Bracelet</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_1_Description"	"<h1>Active:</h1> Active: sends out a circle of ice, inflicting 20* intelligence magic damage to surrounding enemy units of 1000 yards, and causing a slowdown of 30% for 3s"
		"DOTA_Tooltip_ability_item_tz_3_4_1_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_1_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_2"	"<font color='#477bff'>Frost Undead Ring</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_2_spell_damage"	"%+spell damage"
		"DOTA_Tooltip_ability_item_tz_3_4_3"	"<font color='#477bff'>Frost Undead Necklace</font>"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_crit"	"%+magic crit probability"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_tz_3_4_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_tz_3_4_3_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_tz_4_1_1"	"<font color='#a91ac8'>Earth Pulse Battlegear</font>"
		"DOTA_Tooltip_ability_item_tz_4_1_1_Description"	"<h1>Active: (set skills)</h1> Active: own armor +15, strength +400, skill damage +20%, lasts 12s"
		"DOTA_Tooltip_ability_item_tz_4_1_1_bonus_armor"	"+$armor"
